device,t,w,h,p1,p25,p10
DeviceA,"21/03/19,12:18:37",4,W,9,38,21
DeviceA,"21/03/19,13:25:31",1,SE,23,2,23
DeviceA,"21/03/20,11:16:07",1,SW,25,0,22
DeviceA,"21/03/20,11:24:11",4,W,11,9,18
DeviceA,"21/03/20,11:30:52",0,W,5,13,24
DeviceA,"21/03/20,11:44:15",7,W,8,5,33
DeviceA,"21/03/20,11:50:57",1,E,1,29,19
DeviceA,"21/03/20,11:57:38",1,W,3,27,17
DeviceA,"21/03/20,12:04:20",3,W,11,11,25
DeviceA,"21/03/20,12:17:42",3,W,22,33,23
DeviceA,"21/03/20,12:44:48",2,SW,9,34,46
DeviceA,"21/03/20,12:51:23",6,SE,18,38,0
DeviceA,"21/03/21,05:19:33",1,NE,21,28,9
DeviceA,"21/03/21,05:34:06",0,S,15,23,48
DeviceA,"21/03/21,05:40:42",3,W,22,17,10
DeviceA,"21/03/21,05:47:17",3,SE,3,23,42
DeviceA,"21/03/21,05:53:53",4,E,4,27,0
DeviceA,"21/03/21,06:53:12",2,SW,8,17,6
DeviceA,"21/03/21,07:07:45",2,E,29,15,45
DeviceA,"21/03/21,07:27:32",2,W,5,21,0
DeviceA,"21/03/21,07:34:08",0,W,8,22,28
DeviceA,"21/03/21,07:40:43",2,SW,18,8,40
DeviceA,"21/03/21,07:47:19",0,NW,22,23,0
DeviceA,"21/03/21,07:53:54",2,W,10,24,19
DeviceA,"21/03/21,08:07:06",1,W,12,10,11
DeviceA,"21/03/21,08:13:41",0,W,0,35,10
DeviceA,"21/03/21,08:20:17",0,SW,7,16,24
DeviceA,"21/03/21,08:26:52",1,NW,0,21,16
DeviceA,"21/03/21,08:33:28",1,W,18,33,48
DeviceA,"21/03/21,08:41:26",0,NW,17,8,7
DeviceA,"21/03/21,08:48:02",9,NW,22,10,35
DeviceA,"21/03/21,08:54:37",8,W,9,25,32
DeviceA,"21/03/21,09:01:13",0,W,20,10,16
DeviceA,"21/03/21,09:14:24",7,SE,25,27,47
DeviceA,"21/03/21,09:20:59",4,E,16,11,5
DeviceA,"21/03/21,09:27:35",2,NE,22,17,9
DeviceA,"21/03/21,09:34:11",3,W,12,15,7
DeviceA,"21/03/21,09:40:46",1,W,20,41,19
DeviceA,"21/03/21,09:47:22",1,SE,6,14,32
DeviceA,"21/03/21,10:28:17",1,SW,6,11,17
DeviceA,"21/03/22,10:46:09",1,NW,25,0,44
DeviceA,"21/03/23,07:01:17",1,NW,22,31,48
DeviceA,"21/03/23,07:07:59",2,SW,26,32,48
DeviceA,"21/03/23,07:14:40",7,E,16,28,34
DeviceA,"21/03/23,07:21:21",2,NW,3,18,19
DeviceA,"21/03/23,07:28:02",1,W,25,6,38
DeviceA,"21/03/23,07:41:25",1,SW,25,23,30
DeviceA,"21/03/23,07:54:47",3,SW,19,3,27
DeviceA,"21/03/23,08:01:29",0,W,11,8,23
DeviceA,"21/03/23,08:16:14",2,W,8,17,45
DeviceA,"21/03/23,08:22:55",0,E,19,32,29
DeviceA,"21/03/23,08:29:36",9,E,8,9,45
DeviceA,"21/03/23,08:36:17",1,NE,22,12,25
DeviceA,"21/03/23,08:42:59",10,NW,17,15,23
DeviceA,"21/03/23,08:49:40",2,NW,16,39,47
DeviceA,"21/03/23,08:56:21",4,NW,23,18,41
DeviceA,"21/03/23,09:03:02",0,NW,16,33,16
DeviceA,"21/03/23,09:23:05",0,SW,12,35,14
DeviceA,"21/03/23,09:29:46",15,SE,26,6,35
DeviceA,"21/03/23,09:36:27",7,E,18,19,17
DeviceA,"21/03/23,09:44:31",0,S,13,15,22
DeviceA,"21/03/23,09:51:12",14,SW,6,11,6
DeviceA,"21/03/23,09:57:53",12,W,0,22,27
DeviceA,"21/03/23,10:04:35",0,W,19,14,14
DeviceA,"21/03/23,10:11:16",4,N,20,32,18
DeviceA,"21/03/23,10:17:57",1,E,17,10,26
DeviceA,"21/03/23,10:24:38",0,SW,10,22,33
DeviceA,"21/03/23,10:31:19",3,NE,18,21,25
DeviceA,"21/03/23,10:38:00",0,NW,17,40,27
DeviceA,"21/03/23,10:44:41",1,SW,6,29,42
DeviceA,"21/03/23,10:51:22",0,NW,13,7,22
DeviceA,"21/03/23,10:58:03",4,E,27,18,43
DeviceA,"21/03/23,11:04:44",4,W,6,19,30
DeviceA,"21/03/23,11:18:38",2,E,4,20,34
DeviceA,"21/03/23,11:25:13",3,NW,9,30,9
DeviceA,"21/03/23,11:31:48",10,W,10,25,24
DeviceA,"21/03/23,11:38:24",2,E,25,9,33
DeviceA,"21/03/23,11:44:59",2,E,0,19,27
DeviceA,"21/03/23,11:51:34",1,S,21,9,19
DeviceA,"21/03/23,11:58:09",10,SE,19,27,10
DeviceA,"21/03/23,12:04:44",2,NW,20,6,8
DeviceA,"21/03/23,12:11:19",1,NW,22,31,33
DeviceA,"21/03/23,12:17:54",9,S,21,37,22
DeviceA,"21/03/23,12:24:29",0,W,25,9,8
