device,t,w,h,p1,p25,p10
DeviceB,"21/03/19,09:01:46",8,W,64,123,76
DeviceB,"21/03/19,09:08:28",1,W,17,4,5967
DeviceB,"21/03/19,09:15:09",1,NE,28,48,44
DeviceB,"21/03/19,09:21:51",2,E,0,8,53
DeviceB,"21/03/19,09:28:32",7,E,28,29,9
DeviceB,"21/03/19,09:35:14",0,W,83,36,23
DeviceB,"21/03/19,09:41:56",0,S,47,58,12
DeviceB,"21/03/19,09:48:37",3,NE,19,37,79
DeviceB,"21/03/19,09:55:19",3,W,14,72,26
DeviceB,"21/03/19,10:02:00",0,W,15,28,31
DeviceB,"21/03/19,10:08:42",9,E,27,45,26
DeviceB,"21/03/19,10:15:24",1,NW,17,85,47
DeviceB,"21/03/19,10:22:05",1,S,27,5,16
DeviceB,"21/03/19,10:28:47",4,W,12,6083,65
DeviceB,"21/03/19,10:36:51",2,SW,16,10,138
DeviceB,"21/03/19,10:43:33",1,NW,67,29,23
DeviceB,"21/03/19,10:50:14",7,SW,20,37,12
DeviceB,"21/03/19,10:56:56",8,W,10,18,72
DeviceB,"21/03/19,11:03:38",0,W,19,96,25
DeviceB,"21/03/19,11:10:19",1,E,21,15,7
DeviceB,"21/03/19,11:17:01",1,NE,2,88,17
DeviceB,"21/03/19,11:23:42",0,E,28,7,16
DeviceB,"21/03/19,11:30:24",16,SW,48,13,55
DeviceB,"21/03/19,11:37:05",4,W,72,25,14
DeviceB,"21/03/19,11:43:47",2,NW,0,0,121
DeviceB,"21/03/19,11:50:28",0,W,19,24,49
DeviceB,"21/03/19,11:57:10",8,SW,49,29,34
DeviceB,"21/03/19,12:03:51",0,E,0,37,58
DeviceB,"21/03/19,12:11:55",2,E,0,6,31
DeviceB,"21/03/19,12:18:37",1,W,8,30,86
DeviceB,"21/03/19,12:25:18",6,W,6,6234,9
DeviceB,"21/03/19,12:32:00",2,W,9,22,99
DeviceB,"21/03/19,12:38:41",8,E,15,109,22
DeviceB,"21/03/19,12:45:23",0,E,4,41,50
DeviceB,"21/03/19,12:52:04",1,W,24,53,42
DeviceB,"21/03/19,12:58:45",0,W,13,32,27
DeviceB,"21/03/19,13:05:27",6,E,4,32,100
DeviceB,"21/03/19,13:12:08",0,NW,137,4,60
DeviceB,"21/03/19,13:18:49",1,W,8,6,21
DeviceB,"21/03/19,13:25:31",3,NW,9,16,20
DeviceB,"21/03/19,13:32:12",2,W,22,22,28
DeviceB,"21/03/19,13:38:53",1,S,23,33,6143
DeviceB,"21/03/19,13:46:57",3,SW,29,21,121
DeviceB,"21/03/19,13:53:39",1,NE,20,41,141
DeviceB,"21/03/19,14:00:20",3,W,11,40,19
DeviceB,"21/03/19,14:07:01",1,E,21,12,43
DeviceB,"21/03/19,14:13:42",3,NW,91,22,54
DeviceB,"21/03/19,14:20:24",0,W,30,63,37
DeviceB,"21/03/19,14:27:05",2,W,29,37,44
DeviceB,"21/03/19,14:33:46",1,W,34,26,19
DeviceB,"21/03/19,14:40:27",1,W,24,0,72
DeviceB,"21/03/19,14:47:09",1,W,26,47,14
DeviceB,"21/03/19,14:53:50",0,W,7,11,32
DeviceB,"21/03/19,15:00:31",0,W,6203,30,12
DeviceB,"21/03/19,15:07:12",1,SW,31,29,194
DeviceB,"21/03/19,15:13:53",0,W,21,10,16
DeviceB,"21/03/19,15:21:57",2,S,12,12,45
DeviceB,"21/03/19,15:28:38",3,W,61,14,164
DeviceB,"21/03/19,15:35:20",3,S,31,20,0
DeviceB,"21/03/19,15:42:01",2,NE,28,20,33
DeviceB,"21/03/19,15:48:42",8,W,5296,130,21
DeviceB,"21/03/19,15:55:23",1,N,24,6128,26
DeviceB,"21/03/19,16:02:04",3,N,27,41,15
DeviceB,"21/03/19,16:08:46",1,SW,24,14,201
DeviceB,"21/03/19,16:15:27",3,NW,14,59,20
DeviceB,"21/03/19,16:24:25",7,W,17,42,91
DeviceB,"21/03/19,16:31:06",3,W,19,46,17
DeviceB,"21/03/19,16:37:47",3,W,31,39,12
DeviceB,"21/03/19,16:44:28",0,NW,18,19,162
DeviceB,"21/03/19,16:51:09",2,NE,21,97,18
DeviceB,"21/03/19,16:57:50",8,NW,24,44,16
DeviceB,"21/03/19,17:04:32",0,W,19,75,8
DeviceB,"21/03/19,17:11:13",0,NW,26,41,62
DeviceB,"21/03/19,17:17:54",0,W,20,80,61
DeviceB,"21/03/19,17:24:35",1,SW,36,8,270
DeviceB,"21/03/19,17:31:16",1,S,7,12,33
DeviceB,"21/03/19,17:37:57",2,SE,9,4,40
DeviceB,"21/03/19,17:44:38",2,W,10,53,81
DeviceB,"21/03/19,17:51:19",7,SE,26,23,34
DeviceB,"21/03/19,17:59:23",6,W,6083,23,16
DeviceB,"21/03/19,18:06:04",3,W,3,21,27
DeviceB,"21/03/19,18:12:45",6,W,25,21,44
DeviceB,"21/03/19,18:19:26",10,NW,20,27,35
DeviceB,"21/03/19,18:26:07",1,S,67,50,22
DeviceB,"21/03/19,18:32:48",1,W,24,44,48
DeviceB,"21/03/19,18:39:29",2,E,17,0,40
DeviceB,"21/03/19,18:46:10",8,W,31,78,96
DeviceB,"21/03/19,18:52:51",12,W,23,88,37
